Model;Accuracy;Accuracy Std;Accuracy 95;Precision;Precision Std;Precision 95;Recall;Recall Std;Recall 95;F1;F1 Std;F1 95;AUCROC;AUCROC Std;AUCROC 95;AUPRC;AUPRC Std;AUPRC 95;MCC;MCC Std;MCC 95;1-Brier;1-Brier Std;1-Brier 95
Swin-B;0,884075;0,00035678;0,000699288;0,6412;0,001314344;0,002576114;0,682225;0,001367022;0,002679364;0,660141667;0,001143308;0,002240883;0,899575;0,000548546;0,00107515;0,703983333;0,00140124;0,002746429;0,585475;0,001281899;0,002512521;0,907266667;0,000250832;0,000491631
DenseNet121;0,8767;0,000369309;0,000723845;0,611791667;0,001322062;0,002591241;0,670491667;0,00136392;0,002673283;0,638958333;0,001144158;0,002242549;0,887575;0,000579332;0,00113549;0,6758;0,001394159;0,002732553;0,559716667;0,001293574;0,002535405;0,905791667;0,00024367;0,000477593
ResNet50;0,874091667;0,000373794;0,000732637;0,604616667;0,001338402;0,002623268;0,6514;0,001380016;0,002704832;0,626225;0,001169491;0,002292202;0,877441667;0,000631467;0,001237674;0,655083333;0,00135887;0,002663385;0,545058333;0,001321274;0,002589696;0,898858333;0,000250832;0,000491631
ViT-16/B;0,874716667;0,000366193;0,000717738;0,609416667;0,001314582;0,00257658;0,659425;0,001377069;0,002699056;0,632291667;0,001155963;0,002265687;0,886075;0,000571487;0,001120114;0,671175;0,001382605;0,002709906;0,551758333;0,001297246;0,002542602;0,898183333;0,000248468;0,000486996
