Model;Atelectasis;Atelectasis Std;Atelectasis 95;Cardiomegaly;Cardiomegaly Std;Cardiomegaly 95;Consolidation;Consolidation Std;Consolidation 95;Edema;Edema Std;Edema 95;Enlarged Cardio.;Enlarged Cardio. Std;Enlarged Cardio. 95;Fracture;Fracture Std;Fracture 95;Lung Lesion;Lung Lesion Std;Lung Lesion 95;Lung Opacity;Lung Opacity Std;Lung Opacity 95;Pleural Effusion;Pleural Effusion Std;Pleural Effusion 95;Pneumonia;Pneumonia Std;Pneumonia 95;Pneumothorax;Pneumothorax Std;Pneumothorax 95;Support Device;Support Device Std;Support Device 95
Swin-B;89,64;0,13;0,2548;91,75;0,11;0,2156;93,96;0,11;0,2156;93,99;0,1;0,196;95,3;0,11;0,2156;85,83;0,31;0,6076;80,98;0,33;0,6468;88,49;0,13;0,2548;92,62;0,1;0,196;83,97;0,25;0,49;89;0,26;0,5096;93,96;0,09;0,1764
DenseNet121;88,66;0,14;0,2744;90,93;0,12;0,2352;93,31;0,13;0,2548;93,51;0,1;0,196;95,57;0,1;0,196;83,63;0,32;0,6272;77,14;0,35;0,686;87,69;0,14;0,2744;91,92;0,11;0,2156;82,39;0,27;0,5292;87,12;0,27;0,5292;93,22;0,1;0,196
ResNet50;87,98;0,15;0,294;90,39;0,13;0,2548;92,7;0,14;0,2744;93,22;0,11;0,2156;95,51;0,11;0,2156;81,15;0,34;0,6664;76,25;0,37;0,7252;87,1;0,14;0,2744;91,52;0,12;0,2352;79,67;0,3;0,588;84,97;0,32;0,6272;92,47;0,11;0,2156
ViT-16/B;88,48;0,14;0,2744;90,93;0,12;0,2352;93,37;0,13;0,2548;93,27;0,11;0,2156;95,3;0,11;0,2156;83,99;0,29;0,5684;79,28;0,34;0,6664;87,55;0,14;0,2744;91,73;0,11;0,2156;81,47;0,26;0,5096;85,65;0,29;0,5684;92,27;0,11;0,2156
